SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,425 1st St #901,San Francisco,CA,94105,899000,1,1.0,South Beach,837,,2008,42,1074,1089,Active,,,http://www.redfin.com/CA/San-Francisco/425-1st-St-94105/unit-901/home/17305190,San Francisco MLS,510239,N,Y,37.7860625,-122.3921764
MLS Listing,,Condo/Co-op,631 Ofarrell St #212,San Francisco,CA,94109,499000,0,1.0,Downtown,520,,1930,42,960,490,Active,,,http://www.redfin.com/CA/San-Francisco/631-O-Farrell-St-94109/unit-212/home/1425730,San Francisco MLS,509822,N,Y,37.7852399,-122.4151204
MLS Listing,,Condo/Co-op,2040 Franklin St #1407,San Francisco,CA,94109,1425000,2,2.0,Pacific Heights,1529,,1966,42,932,985,Active,,,http://www.redfin.com/CA/San-Francisco/2040-Franklin-St-94109/unit-1407/home/1180717,San Francisco MLS,508828,N,Y,37.7935189,-122.4243158
MLS Listing,,Multi-Family (5+ Unit),932 Cabrillo St,San Francisco,CA,94118,3250000,6,,Inner Richmond,5355,2600,1927,42,607,,Active,,,http://www.redfin.com/CA/San-Francisco/932-Cabrillo-St-94118/home/971184,San Francisco MLS,500014,N,Y,37.7753437,-122.4688005
MLS Listing,,Single Family Residential,666 Geneva Ave,San Francisco,CA,94112,1180000,4,2.5,Outer Mission,1522,1703,1930,43,775,,Active,,,http://www.redfin.com/CA/San-Francisco/666-Geneva-Ave-94112/home/996801,San Francisco MLS,510217,N,Y,37.7191593,-122.444302
MLS Listing,,Condo/Co-op,207 King St #405,San Francisco,CA,94107,799000,1,1.0,Mission Bay,684,,2003,43,1168,651,Active,,,http://www.redfin.com/CA/San-Francisco/207-King-St-94107/unit-405/home/2068521,San Francisco MLS,508642,N,Y,37.7775275,-122.3916855
MLS Listing,,Townhouse,517 29th St,San Francisco,CA,94131,2699000,3,2.5,Noe Valley,1993,,1999,43,1354,250,Active,,,http://www.redfin.com/CA/San-Francisco/517-29th-St-94131/home/1914101,San Francisco MLS,510167,N,Y,37.7432682,-122.4315925
MLS Listing,,Condo/Co-op,150 Lombard St Unit 208B,San Francisco,CA,94111,1095000,2,2.0,North Waterfront,1197,,1975,43,915,1088,Active,,,http://www.redfin.com/CA/San-Francisco/150-Lombard-St-94111/unit-208B/home/542050,San Francisco MLS,510178,N,Y,37.8042666,-122.4041707
MLS Listing,,Condo/Co-op,85 Uranus Ter,San Francisco,CA,94114,1800000,3,1.5,Corona Heights,,,1908,43,,250,Active,,,http://www.redfin.com/CA/San-Francisco/85-Uranus-Ter-94114/unit-9/home/1604239,San Francisco MLS,510182,N,Y,37.7608153,-122.4451535
MLS Listing,,Condo/Co-op,177 17th Ave,San Francisco,CA,94121,2295000,3,3.0,Lake,2142,,1914,43,1071,508,Active,,,http://www.redfin.com/CA/San-Francisco/177-17th-Ave-94121/home/12354266,San Francisco MLS,509533,N,Y,37.7846753,-122.476798
MLS Listing,,Condo/Co-op,888 7th St #245,San Francisco,CA,94107,315732,0,1.0,Potrero Hill,499,,2007,43,633,287,Active,,,http://www.redfin.com/CA/San-Francisco/888-7th-St-94107/unit-245/home/17306245,San Francisco MLS,510174,N,Y,37.7703795,-122.4010623
MLS Listing,,Single Family Residential,339 Diamond St,San Francisco,CA,94114,1899000,2,1.0,Eureka Valley/Dolore,1150,3125,1907,43,1651,,Active,,,http://www.redfin.com/CA/San-Francisco/339-Diamond-St-94114/home/1927852,San Francisco MLS,510151,N,Y,37.756914,-122.4366603
MLS Listing,,Condo/Co-op,400 Grove St #101,San Francisco,CA,94102,424547,1,1.0,Hayes Valley,485,,2015,44,875,688,Active,,,http://www.redfin.com/CA/San-Francisco/400-Grove-St-94102/unit-101/home/109315410,San Francisco MLS,509958,N,Y,37.7780007,-122.4235343
MLS Listing,,Single Family Residential,8027 Geary Blvd,San Francisco,CA,94121,3250000,4,5.5,Outer Richmond,4348,,1930,44,747,,Active,,,http://www.redfin.com/CA/San-Francisco/8027-Geary-Blvd-94121/home/2023782,San Francisco MLS,510096,N,Y,37.7788272,-122.5056382
MLS Listing,,Single Family Residential,3150 Buchanan St,San Francisco,CA,94123,4500000,4,3.5,Cow Hollow,3137,2304,2013,45,1434,,Active,,,http://www.redfin.com/CA/San-Francisco/3150-Buchanan-St-94123/home/1968499,San Francisco MLS,510104,N,Y,37.7991314,-122.4323249
MLS Listing,,Condo/Co-op,708 Long Bridge St #1411,San Francisco,CA,94158,1495000,2,2.0,Mission Bay,,,2016,45,,1110,Active,,,http://www.redfin.com/CA/San-Francisco/708-Long-Bridge-St-94158/unit-1411/home/109315469,San Francisco MLS,509890,N,Y,37.7720304,-122.3935768
